test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,T_round,energy_savings
66897, 2019-06-01T05:19:01+02:00,5,8,31295,4,2,42236.0,33.71134984735589
66898, 2019-06-04T07:31:01+02:00,5,8,8710,4,2,42236.0,36.885925925925925
66899, 2019-05-31T12:17:01+02:00,5,8,2534,4,2,42175.0,36.71005073687621
66900, 2019-06-01T09:03:01+02:00,5,8,19120,4,2,42175.0,34.409426712932955
66901, 2019-06-02T02:40:01+02:00,5,8,14738,4,2,42236.0,33.73123589626189
66902, 2019-06-04T17:19:01+02:00,5,8,22415,4,2,42266.0,31.874869780039884
66903, 2019-06-03T19:16:01+02:00,5,8,32342,4,2,42236.0,32.069446597426754
66904, 2019-05-31T06:34:01+02:00,5,8,27008,4,2,42236.0,33.579248298149665
66905, 2019-06-05T17:07:01+02:00,5,8,13036,4,2,42175.0,34.76882513575442
66906, 2019-06-05T02:18:01+02:00,5,8,29152,4,2,42205.0,36.20165671438065
66907, 2019-06-05T16:46:01+02:00,5,8,5948,4,2,42175.0,36.20550413120458
66908, 2019-06-05T05:27:01+02:00,5,8,11811,4,2,42205.0,32.81090171293407
66909, 2019-06-04T00:45:01+02:00,5,8,1305,4,2,42266.0,31.584367573277
66910, 2019-06-01T13:29:01+02:00,5,8,23247,4,2,,
66911, 2019-06-05T20:30:01+02:00,5,8,1342,4,2,42205.0,33.81458966565349
66912, 2019-06-02T19:56:01+02:00,5,8,7751,4,2,42297.0,32.405862184058016
66913, 2019-05-30T13:04:01+02:00,5,8,31613,4,2,42266.0,35.51050292870127
66914, 2019-06-04T21:52:01+02:00,5,8,473,4,2,42205.0,36.72357898898697
66915, 2019-05-30T21:35:01+02:00,5,8,2402,4,2,42205.0,35.61741577318017
66916, 2019-06-04T17:54:01+02:00,5,8,7542,4,2,42236.0,34.13916825626248
66917, 2019-06-05T22:01:01+02:00,5,8,26986,4,2,42175.0,34.03485287920478
66918, 2019-05-30T01:38:01+02:00,5,8,25376,4,2,42266.0,25.374857253103592
66919, 2019-06-01T12:54:01+02:00,5,8,10087,4,2,42266.0,33.67351772243568
66920, 2019-06-05T04:45:01+02:00,5,8,5338,4,2,42236.0,32.34529922818347
66921, 2019-05-30T11:19:01+02:00,5,8,10004,4,2,42236.0,34.89327182369123
66922, 2019-05-30T02:48:01+02:00,5,8,25701,4,2,42144.0,35.53122992344841
66923, 2019-05-31T08:26:01+02:00,5,8,25382,4,2,42236.0,35.96753787761903
66924, 2019-06-02T16:19:01+02:00,5,8,25002,4,2,42236.0,36.07215216572911
66925, 2019-06-04T22:06:01+02:00,5,8,2123,4,2,42266.0,34.4325243287607
66926, 2019-06-05T00:47:01+02:00,5,8,24324,4,2,42205.0,35.63409641439991
66927, 2019-06-02T12:00:01+02:00,5,8,23963,4,2,42205.0,33.23693665747753
66928, 2019-06-04T22:20:01+02:00,5,8,23625,4,2,42205.0,32.69290846610434
66929, 2019-06-03T12:09:01+02:00,5,8,14832,4,2,42175.0,32.13214096605283
66930, 2019-06-03T22:11:01+02:00,5,8,1020,4,2,42205.0,35.70035127748139
66931, 2019-06-01T01:14:01+02:00,5,8,15905,4,2,42236.0,33.1652466228802
66932, 2019-06-03T08:11:01+02:00,5,8,31602,4,2,42266.0,33.023966560539094
66933, 2019-05-31T03:25:01+02:00,10,8,1298,4,2,77117.0,41.27457915965586
66934, 2019-05-31T18:07:01+02:00,10,8,20599,4,2,77117.0,40.689599763257306
66935, 2019-06-01T04:09:01+02:00,10,8,24154,4,2,77209.0,36.5456345707814
66936, 2019-06-04T22:34:01+02:00,10,8,12505,4,2,77209.0,39.84678739255071
66937, 2019-06-01T05:54:01+02:00,10,8,14306,4,2,77209.0,38.48366102561439
66938, 2019-06-03T21:15:01+02:00,10,8,14099,4,2,77117.0,38.2436370504859
66939, 2019-05-31T03:39:01+02:00,10,8,387,4,2,77117.0,38.538691144847064
66940, 2019-06-05T22:15:01+02:00,10,8,13376,4,2,77209.0,38.1518733184905
66941, 2019-06-01T02:59:01+02:00,10,8,8721,4,2,77148.0,39.6729722865211
66942, 2019-06-03T22:46:01+02:00,10,8,31179,4,2,77117.0,37.44816184711948
66943, 2019-06-05T15:22:01+02:00,10,8,4302,4,2,77148.0,36.49371656090581
66944, 2019-06-04T18:57:01+02:00,10,8,14111,4,2,77209.0,41.07624424906803
66945, 2019-06-01T16:31:01+02:00,10,8,21590,4,2,77178.0,37.53444300736658
66946, 2019-06-05T04:03:01+02:00,10,8,15961,4,2,77178.0,40.05084213727457
66947, 2019-06-01T01:42:01+02:00,10,8,27972,4,2,77117.0,40.11813439705431
66948, 2019-06-01T08:49:01+02:00,10,8,19684,4,2,77209.0,38.27193626758574
66949, 2019-06-03T10:38:01+02:00,10,8,81,4,2,77178.0,38.16731891013808
66950, 2019-05-30T22:31:01+02:00,10,8,7054,4,2,77178.0,38.25618341536352
66951, 2019-06-03T17:10:01+02:00,10,8,8925,4,2,77178.0,39.31454513483703
66952, 2019-05-31T23:15:01+02:00,10,8,2612,4,2,77209.0,37.65614900109737
66953, 2019-06-04T17:26:01+02:00,10,8,28302,4,2,77117.0,39.82693743435326
66954, 2019-05-30T14:07:01+02:00,10,8,11443,4,2,77117.0,41.55756735268305
66955, 2019-06-04T14:31:01+02:00,10,8,12129,4,2,77117.0,37.99467555244536
66956, 2019-06-02T04:25:01+02:00,10,8,6907,4,2,77209.0,41.0192203758976
66957, 2019-06-04T19:04:01+02:00,10,8,18467,4,2,77178.0,36.20152570297249
66958, 2019-05-31T17:04:01+02:00,10,8,13570,4,2,77209.0,39.738641455975255
66959, 2019-05-30T00:28:01+02:00,10,8,23627,4,2,77087.0,40.56203681226885
66960, 2019-05-30T07:56:01+02:00,10,8,12853,4,2,77178.0,40.90129003890701
66961, 2019-06-02T05:14:01+02:00,10,8,8965,4,2,77178.0,40.384052761413066
66962, 2019-06-02T00:48:01+02:00,10,8,12275,4,2,77148.0,36.144433667932944
66963, 2019-06-05T01:43:01+02:00,10,8,10156,4,2,77178.0,37.990827134910624
66964, 2019-06-04T09:09:01+02:00,10,8,25925,4,2,77209.0,39.69740344305582
66965, 2019-06-01T15:28:01+02:00,10,8,27394,4,2,77148.0,38.414051997327945
66966, 2019-06-01T09:45:01+02:00,10,8,24981,4,2,77087.0,39.53739495140769
66967, 2019-06-03T09:21:01+02:00,10,8,6174,4,2,77117.0,39.268797811680415
66968, 2019-05-31T18:35:01+02:00,10,8,26846,4,2,77148.0,37.62369969711217
66969, 2019-06-05T20:44:01+02:00,10,8,6249,4,2,77148.0,37.28024656414127
66970, 2019-06-05T22:36:01+02:00,10,8,17859,4,2,77178.0,39.27171808048308
66971, 2019-05-31T19:31:01+02:00,10,8,27940,4,2,77209.0,39.18480004345953
66972, 2019-06-03T11:34:01+02:00,10,8,28828,4,2,77209.0,39.918245544047664
66973, 2019-06-02T08:09:01+02:00,10,8,5610,4,2,77178.0,39.629051352881625
66974, 2019-06-04T23:09:01+02:00,10,8,27628,4,2,77117.0,39.933907296286634
66975, 2019-06-01T15:49:01+02:00,10,8,8544,4,2,77209.0,39.19719371663308
66976, 2019-06-04T06:56:01+02:00,10,8,5964,4,2,77178.0,36.954365772233935
66977, 2019-06-01T07:18:01+02:00,10,8,18777,4,2,77178.0,39.49392470222063
66978, 2019-05-30T09:20:01+02:00,10,8,28993,4,2,77178.0,37.91771143807857
66979, 2019-06-02T23:40:01+02:00,10,8,8893,4,2,77178.0,38.19106840022612
66980, 2019-05-31T23:50:01+02:00,10,8,14778,4,2,77178.0,37.87464326464055
66981, 2019-06-01T13:57:01+02:00,10,8,4684,4,2,77117.0,41.25875083912156
66982, 2019-06-03T15:18:01+02:00,10,8,16169,4,2,77117.0,36.94430592231722
66983, 2019-06-05T03:14:01+02:00,10,8,8619,4,2,77178.0,36.69847099680172
66984, 2019-05-30T22:17:01+02:00,10,8,20536,4,2,77209.0,40.77587490563138
66985, 2019-06-01T17:13:01+02:00,10,8,9176,4,2,77178.0,34.164915692959
66986, 2019-05-31T20:27:01+02:00,10,8,6563,4,2,77148.0,37.62949807602858
66987, 2019-06-01T21:53:01+02:00,10,8,107,4,2,77148.0,38.53292016526723
66988, 2019-06-03T14:01:01+02:00,10,8,32094,4,2,77178.0,38.10758359135421
66989, 2019-06-05T15:01:01+02:00,10,8,9459,4,2,77117.0,38.76058637461311
66990, 2019-05-31T06:20:01+02:00,10,8,16688,4,2,77178.0,38.12873829348294
66991, 2019-06-05T14:40:01+02:00,10,8,9771,4,2,77178.0,36.50111031812382
66992, 2019-06-03T07:57:01+02:00,10,8,13860,4,2,77178.0,36.71398554809046
66993, 2019-06-02T07:55:01+02:00,30,8,25690,4,2,216918.0,41.097380269382015
66994, 2019-05-31T18:42:01+02:00,30,8,16735,4,2,216949.0,42.81127194914582
66995, 2019-06-01T15:21:01+02:00,30,8,1625,4,2,216949.0,41.707637638124915
66996, 2019-06-02T14:34:01+02:00,30,8,6237,4,2,216949.0,40.32908490836349
66997, 2019-05-31T01:26:01+02:00,30,8,26234,4,2,216979.0,42.69275148019584
66998, 2019-06-05T14:33:01+02:00,30,8,4557,4,2,216949.0,41.03934392327457
66999, 2019-06-05T03:07:01+02:00,30,8,12945,4,2,216888.0,42.431133825328544
67000, 2019-05-30T21:49:01+02:00,30,8,5181,4,2,216888.0,43.254443755061835
67001, 2019-06-05T10:21:01+02:00,30,8,26117,4,2,216888.0,43.97126833605714
67002, 2019-05-31T20:13:01+02:00,30,8,21341,4,2,216918.0,37.55039402328117
67003, 2019-06-02T09:12:01+02:00,30,8,10047,4,2,216979.0,42.621200829825376
67004, 2019-06-03T01:18:01+02:00,30,8,3652,4,2,216949.0,41.67613821280687
67005, 2019-06-05T21:12:01+02:00,30,8,15066,4,2,216949.0,41.39304789422993
67006, 2019-05-30T08:24:01+02:00,30,8,26652,4,2,216888.0,41.81055995359904
67007, 2019-05-30T20:18:01+02:00,30,8,12214,4,2,216949.0,41.19146407572662
67008, 2019-06-02T15:37:01+02:00,30,8,24843,4,2,216949.0,43.66912981463198
67009, 2019-06-01T07:46:01+02:00,30,8,23151,4,2,216888.0,42.17242841762998
67010, 2019-06-03T23:21:01+02:00,30,8,24644,4,2,216857.0,41.374354763022055
67011, 2019-06-01T13:22:01+02:00,30,8,19557,4,2,216979.0,41.59566908950676
67012, 2019-05-30T20:04:01+02:00,30,8,4758,4,2,216979.0,42.77727682596934
67013, 2019-06-03T21:29:01+02:00,30,8,31625,4,2,216979.0,41.59536491387126
67014, 2019-05-30T00:42:01+02:00,30,8,29486,4,2,216888.0,41.985595954958555
67015, 2019-05-30T08:10:01+02:00,30,8,24587,4,2,216979.0,40.54602217568578
67016, 2019-06-05T19:20:01+02:00,30,8,4875,4,2,216949.0,40.37889586529024
67017, 2019-06-05T12:27:01+02:00,30,8,12542,4,2,216918.0,42.60105778713164
67018, 2019-06-05T19:55:01+02:00,30,8,15478,4,2,216979.0,41.05413171453358
67019, 2019-06-03T16:21:01+02:00,30,8,22268,4,2,216888.0,41.9462042076147
67020, 2019-05-30T18:54:01+02:00,30,8,22951,4,2,216918.0,43.09036019634503
67021, 2019-06-01T18:58:01+02:00,30,8,15857,4,2,216949.0,40.853897298400554
67022, 2019-05-30T19:01:01+02:00,30,8,20470,4,2,216918.0,41.09150770547149
67023, 2019-05-30T16:34:01+02:00,30,8,3090,4,2,216918.0,40.439886538114465
67024, 2019-05-31T07:51:01+02:00,30,8,15167,4,2,216949.0,42.71803307478192
67025, 2019-05-30T18:47:01+02:00,30,8,2888,4,2,216857.0,41.4113877938984
67026, 2019-06-01T08:28:01+02:00,30,8,20470,4,2,216918.0,41.81192615067325
67027, 2019-05-30T11:12:01+02:00,30,8,21236,4,2,216949.0,42.19822481103945
67028, 2019-06-01T16:03:01+02:00,30,8,7674,4,2,216979.0,38.416118368605105
67029, 2019-06-04T08:13:01+02:00,30,8,199,4,2,216918.0,42.00140474640226
67030, 2019-06-04T11:08:01+02:00,30,8,28982,4,2,216918.0,42.402181826084124
67031, 2019-06-03T09:49:01+02:00,30,8,31093,4,2,216888.0,42.34723616814564
67032, 2019-06-05T00:33:01+02:00,30,8,789,4,2,216857.0,42.26874015417066
67033, 2019-05-30T07:21:01+02:00,30,8,8381,4,2,216857.0,41.046211612476256
67034, 2019-06-05T00:05:01+02:00,30,8,17675,4,2,216979.0,42.107079007621614
67035, 2019-06-04T03:12:01+02:00,30,8,18983,4,2,216949.0,40.59203382450913
67036, 2019-05-30T19:36:01+02:00,30,8,21093,4,2,216979.0,40.14247121607474
67037, 2019-06-04T00:10:01+02:00,30,8,13384,4,2,216979.0,39.897529091214224
67038, 2019-06-02T08:58:01+02:00,30,8,16891,4,2,216918.0,42.11224349593405
67039, 2019-06-02T22:51:01+02:00,30,8,25140,4,2,216888.0,39.191929802523035
67040, 2019-06-01T22:56:01+02:00,30,8,19591,4,2,216857.0,39.20503278696719
67041, 2019-05-31T10:39:01+02:00,30,8,826,4,2,216888.0,41.48780444841993
67042, 2019-06-05T08:15:01+02:00,30,8,4762,4,2,216857.0,40.81894635491204
67043, 2019-06-03T07:01:01+02:00,30,8,10399,4,2,216888.0,39.30087648728329
67044, 2019-06-01T10:34:01+02:00,30,8,28423,4,2,216918.0,43.01391989149306
67045, 2019-05-31T17:11:01+02:00,30,8,2094,4,2,217010.0,43.34941386463409
67046, 2019-06-01T22:35:01+02:00,30,8,10346,4,2,216949.0,40.44599491172616
67047, 2019-05-31T00:37:01+02:00,30,8,6832,4,2,216918.0,42.74834258345969
67048, 2019-06-05T14:47:01+02:00,30,8,32156,4,2,216918.0,39.74744357907035
67049, 2019-05-30T10:30:01+02:00,30,8,14240,4,2,216918.0,39.250025014483626
67050, 2019-05-31T23:36:01+02:00,30,8,27913,4,2,216888.0,42.93348699527397
67051, 2019-05-30T10:44:01+02:00,30,8,21768,4,2,216918.0,41.35772892051885
67052, 2019-05-30T04:40:01+02:00,30,8,13822,4,2,216918.0,40.91985087457435
67053, 2019-06-01T08:14:01+02:00,5,16,2222,4,2,52185.0,26.260727623475873
67054, 2019-06-05T17:00:01+02:00,5,16,8886,4,2,52185.0,28.719387204660695
67055, 2019-06-05T06:44:01+02:00,5,16,12627,4,2,52124.0,24.780000875618406
67056, 2019-05-30T21:14:01+02:00,5,16,7970,4,2,52124.0,25.507353760901395
67057, 2019-06-05T17:21:01+02:00,5,16,6529,4,2,52185.0,29.22138955925314
67058, 2019-06-05T03:00:01+02:00,5,16,22307,4,2,52154.0,27.927821117776773
67059, 2019-06-03T12:58:01+02:00,5,16,4067,4,2,52154.0,27.459493548074125
67060, 2019-06-02T03:08:01+02:00,5,16,26380,4,2,52093.0,26.543065617615746
67061, 2019-05-31T10:53:01+02:00,5,16,12611,4,2,52154.0,33.095633711806514
67062, 2019-06-03T13:19:01+02:00,5,16,23019,4,2,52185.0,29.634607970744533
67063, 2019-06-04T11:29:01+02:00,5,16,25533,4,2,52154.0,29.03591718825682
67064, 2019-06-01T07:53:01+02:00,5,16,10844,4,2,52154.0,29.753906947673094
67065, 2019-06-04T15:20:01+02:00,5,16,7109,4,2,52185.0,27.663857398192675
67066, 2019-06-03T18:34:01+02:00,5,16,31460,4,2,52154.0,28.331028961883796
67067, 2019-05-31T04:00:01+02:00,5,16,11076,4,2,52154.0,26.67108757075463
67068, 2019-06-03T14:08:01+02:00,5,16,26914,4,2,52093.0,26.647257887926745
67069, 2019-06-03T02:56:01+02:00,5,16,26896,4,2,52154.0,28.952246447170975
67070, 2019-06-01T21:39:01+02:00,5,16,5527,4,2,52154.0,30.639170536400925
67071, 2019-05-31T02:50:01+02:00,5,16,14530,4,2,52124.0,30.96394609016898
67072, 2019-06-03T00:29:01+02:00,5,16,4728,4,2,52062.0,26.670222923505477
67073, 2019-06-03T17:24:01+02:00,5,16,18042,4,2,52093.0,26.40805469346165
67074, 2019-05-31T13:06:01+02:00,5,16,27110,4,2,52185.0,30.25283719614962
67075, 2019-06-01T01:00:01+02:00,5,16,26478,4,2,52154.0,29.6512489258941
67076, 2019-06-02T09:33:01+02:00,5,16,7610,4,2,52093.0,30.239678378009472
67077, 2019-06-01T09:24:01+02:00,5,16,22635,4,2,52185.0,27.951178181318554
67078, 2019-05-30T07:28:01+02:00,5,16,5819,4,2,52093.0,28.281797368493645
67079, 2019-06-05T04:10:01+02:00,5,16,13326,4,2,52154.0,27.00830263374938
67080, 2019-05-30T12:57:01+02:00,5,16,16673,4,2,52154.0,28.885016515384017
67081, 2019-06-05T15:57:01+02:00,5,16,30185,4,2,52093.0,31.25692137320044
67082, 2019-06-04T00:24:01+02:00,5,16,4416,4,2,52154.0,27.111410601976637
67083, 2019-06-03T09:07:01+02:00,5,16,13209,4,2,52093.0,30.511453482113723
67084, 2019-06-03T17:45:01+02:00,5,16,11066,4,2,52154.0,28.35850847258923
67085, 2019-06-01T09:38:01+02:00,5,16,22075,4,2,52124.0,26.30317836923583
67086, 2019-06-01T12:26:01+02:00,5,16,24806,4,2,52154.0,28.36317526036
67087, 2019-06-02T20:03:01+02:00,5,16,23351,4,2,52185.0,30.930611666312284
67088, 2019-05-31T06:48:01+02:00,5,16,20922,4,2,52124.0,25.7605824988026
67089, 2019-05-30T15:59:01+02:00,5,16,9797,4,2,52093.0,30.845868333658917
67090, 2019-06-03T12:23:01+02:00,5,16,27072,4,2,52062.0,29.433972157407652
67091, 2019-06-02T21:41:01+02:00,5,16,12020,4,2,52124.0,26.18698780094207
67092, 2019-05-31T19:10:01+02:00,5,16,26691,4,2,52093.0,25.571587125416208
67093, 2019-06-05T05:20:01+02:00,5,16,28490,4,2,52185.0,30.10327162334318
67094, 2019-06-04T16:58:01+02:00,5,16,1705,4,2,52124.0,26.616667196904242
67095, 2019-05-31T00:23:01+02:00,5,16,3462,4,2,52154.0,28.544146138942704
67096, 2019-06-02T13:24:01+02:00,5,16,22479,4,2,52124.0,30.73396605962198
67097, 2019-06-02T15:02:01+02:00,5,16,2583,4,2,52185.0,29.08222585812785
67098, 2019-06-04T19:53:01+02:00,5,16,8368,4,2,52185.0,28.3046905621498
67099, 2019-06-02T13:59:01+02:00,5,16,11511,4,2,52154.0,28.873461482812996
67100, 2019-05-31T07:16:01+02:00,5,16,19080,4,2,52124.0,27.50511692723076
67101, 2019-05-31T23:08:01+02:00,5,16,9652,4,2,52154.0,27.047697306866826
67102, 2019-05-31T07:58:01+02:00,5,16,31910,4,2,52093.0,33.65336295590997
67103, 2019-06-05T09:46:01+02:00,5,16,32624,4,2,52154.0,30.936593870027945
67104, 2019-06-04T21:31:01+02:00,5,16,18374,4,2,52154.0,24.801195360380895
67105, 2019-06-03T15:53:01+02:00,5,16,31698,4,2,52093.0,27.335129969309907
67106, 2019-06-03T06:54:01+02:00,5,16,21755,4,2,52215.0,28.80657408332501
67107, 2019-06-02T17:43:01+02:00,5,16,29493,4,2,52154.0,26.608728196599266
67108, 2019-06-05T19:41:01+02:00,5,16,25744,4,2,52093.0,30.063510338495046
67109, 2019-06-05T23:46:01+02:00,5,16,23619,4,2,52124.0,26.174415805672886
67110, 2019-06-05T20:23:01+02:00,5,16,17187,4,2,52093.0,27.21179711760948
67111, 2019-05-31T08:05:01+02:00,5,16,17722,4,2,52062.0,26.954198301604592
67112, 2019-05-30T08:17:01+02:00,5,16,1322,4,2,52185.0,32.937517670342096
67113, 2019-05-31T06:41:01+02:00,10,16,23280,4,2,96954.0,31.2439124416876
67114, 2019-06-02T11:32:01+02:00,10,16,24043,4,2,96954.0,31.75915435088462
67115, 2019-06-02T22:16:01+02:00,10,16,23294,4,2,97045.0,32.68628323001472
67116, 2019-06-05T08:43:01+02:00,10,16,21001,4,2,96984.0,33.10917293233083
67117, 2019-06-04T14:59:01+02:00,10,16,5850,4,2,97015.0,29.79344782864389
67118, 2019-05-31T04:42:01+02:00,10,16,31687,4,2,97045.0,33.64972520421652
67119, 2019-06-02T05:35:01+02:00,10,16,13959,4,2,97045.0,34.08856429192007
67120, 2019-06-05T08:57:01+02:00,10,16,6456,4,2,97015.0,32.914868575912124
67121, 2019-06-04T02:37:01+02:00,10,16,24295,4,2,96954.0,30.219643636150874
67122, 2019-05-30T13:39:01+02:00,10,16,6231,4,2,96984.0,36.474583418313756
67123, 2019-06-05T23:11:01+02:00,10,16,1524,4,2,96954.0,32.601966745636204
67124, 2019-05-30T20:53:01+02:00,10,16,5946,4,2,96954.0,32.719383982764406
67125, 2019-05-30T13:25:01+02:00,10,16,12359,4,2,96984.0,35.06004869495699
67126, 2019-05-31T04:56:01+02:00,10,16,32203,4,2,97045.0,34.68355776885413
67127, 2019-06-01T10:06:01+02:00,10,16,1505,4,2,97015.0,32.84733631386115
67128, 2019-05-30T13:11:01+02:00,10,16,22979,4,2,97015.0,34.16568280062121
67129, 2019-06-02T11:53:01+02:00,10,16,8292,4,2,96984.0,32.10736535027332
67130, 2019-06-04T21:24:01+02:00,10,16,28421,4,2,96954.0,33.244636221982496
67131, 2019-06-05T05:34:01+02:00,10,16,26384,4,2,96954.0,31.538637816453786
67132, 2019-06-05T16:53:01+02:00,10,16,10804,4,2,97015.0,31.23488097412726
67133, 2019-06-02T15:44:01+02:00,10,16,26731,4,2,96954.0,33.25886013137777
67134, 2019-06-03T21:50:01+02:00,10,16,19752,4,2,97045.0,31.04414055023482
67135, 2019-06-01T01:49:01+02:00,10,16,15282,4,2,97045.0,28.78626536765242
67136, 2019-05-31T14:09:01+02:00,10,16,26511,4,2,96954.0,31.75270521498664
67137, 2019-06-01T04:02:01+02:00,10,16,6567,4,2,97015.0,33.08197400319173
67138, 2019-06-03T10:17:01+02:00,10,16,16040,4,2,96954.0,33.47646264552998
67139, 2019-06-01T23:45:01+02:00,10,16,18701,4,2,96954.0,32.86192109828329
67140, 2019-06-05T22:08:01+02:00,10,16,2709,4,2,96954.0,29.526044564875527
67141, 2019-05-31T21:16:01+02:00,10,16,1508,4,2,97015.0,32.178995663377535
67142, 2019-05-31T18:56:01+02:00,10,16,11225,4,2,97045.0,32.96840634661578
67143, 2019-06-03T03:31:01+02:00,10,16,10208,4,2,97015.0,31.731662327808372
67144, 2019-06-01T22:42:01+02:00,10,16,32630,4,2,97015.0,31.639465394537275
67145, 2019-06-02T19:35:01+02:00,10,16,7954,4,2,97045.0,30.29416660721505
67146, 2019-06-05T02:53:01+02:00,10,16,19265,4,2,97015.0,28.402494087293057
67147, 2019-05-31T00:16:01+02:00,10,16,12558,4,2,96954.0,32.72450117459831
67148, 2019-06-01T02:10:01+02:00,10,16,29959,4,2,96984.0,33.384435786719926
67149, 2019-05-31T00:58:01+02:00,10,16,28897,4,2,96954.0,30.311861515541565
67150, 2019-06-02T12:28:01+02:00,10,16,4547,4,2,96984.0,31.30410055166923
67151, 2019-06-01T18:44:01+02:00,10,16,28684,4,2,96984.0,31.047744990597643
67152, 2019-06-05T17:14:01+02:00,10,16,31783,4,2,96923.0,30.315013947398313
67153, 2019-06-02T04:46:01+02:00,10,16,28118,4,2,96984.0,31.663475419155315
67154, 2019-06-01T18:37:01+02:00,10,16,24336,4,2,97015.0,34.56585365853658
67155, 2019-06-05T03:49:01+02:00,10,16,7931,4,2,97015.0,33.750776951587284
67156, 2019-05-31T03:32:01+02:00,10,16,451,4,2,97015.0,33.80333642702458
67157, 2019-05-30T01:10:01+02:00,10,16,31036,4,2,97045.0,29.92923662839349
67158, 2019-05-31T03:53:01+02:00,10,16,8794,4,2,97045.0,32.73812688634584
67159, 2019-06-02T11:39:01+02:00,10,16,3462,4,2,96984.0,32.715323769594285
67160, 2019-06-02T09:47:01+02:00,10,16,6809,4,2,97015.0,30.026350954753788
67161, 2019-06-01T19:12:01+02:00,10,16,30736,4,2,96954.0,34.15702101736217
67162, 2019-06-01T17:27:01+02:00,10,16,2572,4,2,96954.0,31.493131496817632
67163, 2019-06-02T19:21:01+02:00,10,16,14267,4,2,97015.0,31.706609013358214
67164, 2019-06-04T00:31:01+02:00,10,16,15232,4,2,96923.0,32.19609318278943
67165, 2019-06-02T04:04:01+02:00,10,16,2336,4,2,96954.0,35.31568114648161
67166, 2019-05-31T16:22:01+02:00,10,16,26358,4,2,97045.0,31.686141948663078
67167, 2019-06-05T14:12:01+02:00,10,16,8387,4,2,96954.0,31.33010896534376
67168, 2019-05-30T12:43:01+02:00,10,16,25561,4,2,97015.0,34.74762712929788
67169, 2019-05-31T02:29:01+02:00,10,16,22266,4,2,97015.0,31.276530939725617
67170, 2019-06-04T19:46:01+02:00,10,16,12404,4,2,96923.0,32.52396818709867
67171, 2019-05-31T04:35:01+02:00,10,16,9785,4,2,97015.0,32.5857846182478
67172, 2019-06-03T22:04:01+02:00,10,16,6195,4,2,97015.0,32.13710431386079
67173, 2019-06-05T08:08:01+02:00,30,16,17503,4,2,276397.0,35.45902929671277
67174, 2019-06-03T10:52:01+02:00,30,16,685,4,2,276489.0,33.78466923777149
67175, 2019-05-30T02:06:01+02:00,30,16,8692,4,2,276489.0,36.74091524548208
67176, 2019-05-30T14:56:01+02:00,30,16,18314,4,2,276458.0,34.003892184767324
67177, 2019-05-30T02:13:01+02:00,30,16,22512,4,2,276428.0,34.79752333451586
67178, 2019-06-04T04:50:01+02:00,30,16,9652,4,2,276458.0,33.00336715551134
67179, 2019-06-05T08:01:01+02:00,30,16,1715,4,2,276489.0,35.54683750957949
67180, 2019-06-03T11:48:01+02:00,30,16,21830,4,2,276367.0,36.621603583221734
67181, 2019-06-03T17:52:01+02:00,30,16,7366,4,2,276397.0,34.012301734182934
