test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,T_round,energy_savings
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,42175.0,37.29577891941833
66874, 2019-06-05T01:15:01+02:00,5,8,9289,4,2,42205.0,30.4957127545552
66875, 2019-06-03T02:21:01+02:00,5,8,11398,4,2,42175.0,37.68868301253894
66876, 2019-06-01T19:05:01+02:00,5,8,13053,4,2,42175.0,33.86145956835078
66877, 2019-05-31T23:01:01+02:00,5,8,32237,4,2,42297.0,35.59300482970038
66878, 2019-05-30T13:18:01+02:00,5,8,12646,4,2,42236.0,31.764489755127464
66879, 2019-05-31T10:25:01+02:00,5,8,27229,4,2,42205.0,36.369477911646584
66880, 2019-05-31T17:46:01+02:00,5,8,1139,4,2,42175.0,35.17676719212222
66881, 2019-06-01T04:30:01+02:00,5,8,243,4,2,42266.0,34.29298840052217
66882, 2019-05-30T05:08:01+02:00,5,8,12553,4,2,42175.0,34.23722508146109
66883, 2019-06-02T02:54:01+02:00,5,8,4634,4,2,42236.0,27.30986329707519
66884, 2019-06-02T18:25:01+02:00,5,8,612,4,2,42266.0,35.1792166930914
66885, 2019-06-02T08:51:01+02:00,5,8,20406,4,2,42205.0,36.915874672156576
66886, 2019-06-02T08:44:01+02:00,5,8,10954,4,2,42297.0,31.845908571782005
66887, 2019-06-03T08:53:01+02:00,5,8,708,4,2,42236.0,31.765265573403482
66888, 2019-06-02T09:26:01+02:00,5,8,190,4,2,42266.0,36.19229007956796
66889, 2019-06-01T03:20:01+02:00,5,8,447,4,2,42236.0,37.06437852719594
66890, 2019-06-02T03:36:01+02:00,5,8,21320,4,2,42144.0,29.59528988129817
66891, 2019-05-31T02:15:01+02:00,5,8,31960,4,2,42297.0,33.95634798647402
66892, 2019-06-04T23:16:01+02:00,5,8,1266,4,2,42175.0,35.09227656031156
66893, 2019-06-03T01:53:01+02:00,5,8,25873,4,2,42205.0,34.65500211655143
66894, 2019-06-04T02:02:01+02:00,5,8,2741,4,2,42205.0,33.91059650701068
66895, 2019-06-02T19:49:01+02:00,5,8,6824,4,2,42175.0,35.94364384587108
66896, 2019-06-01T10:48:01+02:00,5,8,21300,4,2,42175.0,35.75888290838785
