test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,node_id,T_round,T_round_1slot,T_on_round,T_on_without_round,energy_savings
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,1,42144.0,14190.0,24291.0,33872.0,28.28589985829003
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,2,42175.0,14282.0,25817.0,36284.0,28.84742586263918
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,3,42175.0,14282.0,22308.0,34147.0,34.67068849386476
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,4,42175.0,14221.0,25146.0,35613.0,29.390952741976246
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,6,42144.0,14190.0,20751.0,33109.0,37.325198586487055
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,7,42144.0,14190.0,21331.0,34178.0,37.58850722687109
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,8,42144.0,14190.0,22186.0,36679.0,39.51307287548734
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,10,42144.0,14282.0,23712.0,36802.0,35.56871909135373
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,11,42175.0,14282.0,23681.0,36221.0,34.620800088346535
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,13,42144.0,14221.0,18402.0,32378.0,43.165112113163254
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,14,,,,,
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,15,42022.0,14068.0,23071.0,31188.0,26.026035654739005
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,16,42144.0,14190.0,18615.0,30331.0,38.62714714318684
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,17,,,,,
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,18,42144.0,14251.0,17639.0,29233.0,39.660657476139974
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,19,,,,,
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,20,42144.0,14190.0,19226.0,31676.0,39.30420507639853
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,22,42175.0,14221.0,19927.0,32347.0,38.396141836955515
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,23,42175.0,14221.0,20965.0,31737.0,33.941456344329964
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,24,42114.0,14190.0,17517.0,29966.0,41.54374958286057
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,25,42175.0,14221.0,21209.0,34636.0,38.76602379027601
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,26,42144.0,14190.0,24200.0,35551.0,31.928778374729262
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,27,42144.0,14190.0,18341.0,30761.0,40.37580052664087
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,28,42144.0,14221.0,17822.0,28409.0,37.26635925234961
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,32,42175.0,14221.0,22918.0,35522.0,35.48223636056528
66873, 2019-06-02T06:03:01+02:00,5,8,12048,4,2,33,42144.0,14190.0,22186.0,32437.0,31.6027992724358
66874, 2019-06-05T01:15:01+02:00,5,8,9289,4,2,1,42144.0,14312.0,29327.0,40920.0,28.33088954056696
66874, 2019-06-05T01:15:01+02:00,5,8,9289,4,2,2,42175.0,14282.0,25299.0,35154.0,28.03379416282642
66874, 2019-06-05T01:15:01+02:00,5,8,9289,4,2,3,42144.0,14190.0,22277.0,30881.0,27.861792040413196
66874, 2019-06-05T01:15:01+02:00,5,8,9289,4,2,4,42144.0,14190.0,24414.0,33293.0,26.669269816477936
66874, 2019-06-05T01:15:01+02:00,5,8,9289,4,2,6,42205.0,14282.0,25939.0,37320.0,30.4957127545552
