test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,T_round,energy_savings
68743, 2019-06-15T16:52:01+02:00,10,8,8826,4,2,77117.0,38.96907767964214
68744, 2019-06-14T20:06:01+02:00,10,8,1864,4,2,77087.0,37.37550085861477
68745, 2019-06-19T02:04:01+02:00,10,8,30738,4,2,77117.0,38.130716921380404
68746, 2019-06-18T16:37:01+02:00,10,8,29398,4,2,77148.0,37.934388323411966
68747, 2019-06-13T21:49:01+02:00,10,8,4284,4,2,77117.0,39.99770540234336
68748, 2019-06-17T15:53:01+02:00,10,8,19834,4,2,77239.0,38.15505094450838
68749, 2019-06-16T07:27:01+02:00,10,8,1406,4,2,77117.0,39.19278533412182
68750, 2019-06-19T07:12:01+02:00,10,8,30728,4,2,77178.0,37.37459586746626
68751, 2019-06-19T10:28:01+02:00,10,8,27537,4,2,77178.0,39.432031169422345
68752, 2019-06-19T11:24:01+02:00,10,8,29019,4,2,77178.0,38.18677205904368
68753, 2019-06-16T03:50:01+02:00,10,8,7053,4,2,77117.0,39.40009300883584
68754, 2019-06-13T00:35:01+02:00,10,8,28646,4,2,77178.0,37.55831020301397
68755, 2019-06-14T15:26:01+02:00,10,8,26906,4,2,77148.0,38.439470806228364
68756, 2019-06-15T05:19:01+02:00,10,8,5647,4,2,77148.0,38.34845436252728
68757, 2019-06-14T21:51:01+02:00,10,8,8255,4,2,77148.0,38.764267990074444
68758, 2019-06-15T11:02:01+02:00,10,8,15085,4,2,77148.0,38.23670994144405
68759, 2019-06-16T05:14:01+02:00,10,8,12323,4,2,77209.0,37.00317340622742
68760, 2019-06-17T11:34:01+02:00,10,8,10000,4,2,77148.0,40.89916063010233
68761, 2019-06-17T17:38:01+02:00,10,8,30356,4,2,77239.0,40.10670057496683
68762, 2019-06-16T17:57:01+02:00,10,8,20900,4,2,77087.0,38.5517674510791
68763, 2019-06-16T02:05:01+02:00,10,8,17987,4,2,77148.0,38.05883770975667
68764, 2019-06-13T03:16:01+02:00,10,8,27179,4,2,77178.0,36.84050896171233
68765, 2019-06-17T18:20:01+02:00,10,8,31022,4,2,77148.0,35.74634253457122
68766, 2019-06-17T17:45:01+02:00,10,8,5763,4,2,77148.0,37.05021462936821
68767, 2019-06-14T08:33:01+02:00,10,8,24771,4,2,77178.0,40.42452627508271
68768, 2019-06-14T04:42:01+02:00,10,8,1890,4,2,77148.0,39.685110283793875
68769, 2019-06-19T12:20:01+02:00,10,8,14180,4,2,77209.0,37.72464496669599
68770, 2019-06-13T03:30:01+02:00,10,8,27428,4,2,77148.0,38.544486554773506
68771, 2019-06-18T16:51:01+02:00,10,8,27677,4,2,77117.0,38.07904932543146
68772, 2019-06-15T06:15:01+02:00,10,8,10986,4,2,77178.0,40.85338581268449
68773, 2019-06-19T10:14:01+02:00,10,8,31164,4,2,77087.0,37.265451311694086
68774, 2019-06-14T10:18:01+02:00,10,8,7501,4,2,77117.0,37.93446015867541
68775, 2019-06-18T12:11:01+02:00,10,8,5770,4,2,77117.0,36.65308240609308
68776, 2019-06-16T22:37:01+02:00,10,8,17206,4,2,77178.0,37.993931608877176
68777, 2019-06-17T00:43:01+02:00,10,8,11744,4,2,77209.0,38.439108313706356
68778, 2019-06-14T22:19:01+02:00,10,8,22558,4,2,77209.0,36.82394560992299
68779, 2019-06-19T06:30:01+02:00,10,8,22702,4,2,77239.0,38.73232459593507
68780, 2019-06-18T21:17:01+02:00,10,8,2484,4,2,77178.0,38.0648681655952
68782, 2019-06-16T06:24:01+02:00,10,8,26290,4,2,77117.0,37.640264707582176
68783, 2019-06-15T17:06:01+02:00,10,8,17425,4,2,77117.0,39.738067520372525
68784, 2019-06-17T07:15:01+02:00,10,8,17114,4,2,77178.0,38.66703711381989
68785, 2019-06-16T16:40:01+02:00,10,8,31095,4,2,77148.0,40.17249490364484
68786, 2019-06-17T00:15:01+02:00,10,8,317,4,2,77148.0,38.37511447613727
68787, 2019-06-17T00:36:01+02:00,10,8,27667,4,2,77087.0,39.74477719460739
68788, 2019-06-17T21:29:01+02:00,10,8,6186,4,2,77178.0,37.88609176932691
68789, 2019-06-19T17:56:01+02:00,10,8,26067,4,2,77239.0,39.48359978983713
68790, 2019-06-13T19:08:01+02:00,10,8,29970,4,2,77148.0,40.4288669122875
68791, 2019-06-13T13:04:01+02:00,10,8,10360,4,2,77117.0,41.3218572331017
68792, 2019-06-17T10:03:01+02:00,10,8,27697,4,2,77209.0,38.54589567327133
68793, 2019-06-18T14:17:01+02:00,10,8,24224,4,2,77148.0,37.96871741397289
68794, 2019-06-13T23:34:01+02:00,30,8,22829,4,2,216979.0,43.96999982361177
68795, 2019-06-18T19:04:01+02:00,30,8,13708,4,2,216918.0,42.309734734693436
68796, 2019-06-13T12:15:01+02:00,30,8,12180,4,2,216857.0,41.711913730524365
68797, 2019-06-14T08:05:01+02:00,30,8,26897,4,2,216918.0,43.307316466236294
68798, 2019-06-16T21:55:01+02:00,30,8,16671,4,2,216979.0,40.512487836522865
68799, 2019-06-19T07:47:01+02:00,30,8,6392,4,2,216949.0,40.82717703702639
68800, 2019-06-13T13:18:01+02:00,30,8,6218,4,2,216918.0,42.15435023160678
68801, 2019-06-19T12:48:01+02:00,30,8,23116,4,2,216857.0,40.78965469803274
68802, 2019-06-18T18:08:01+02:00,30,8,25676,4,2,216949.0,42.38402111399146
68803, 2019-06-13T22:52:01+02:00,30,8,19408,4,2,216918.0,40.960272195049214
68804, 2019-06-16T19:49:01+02:00,30,8,5969,4,2,216949.0,43.28053045828226
68805, 2019-06-13T00:42:01+02:00,30,8,19663,4,2,216949.0,43.72789198148485
68806, 2019-06-15T07:25:01+02:00,30,8,19152,4,2,216979.0,42.19514005511278
68807, 2019-06-17T22:46:01+02:00,30,8,25686,4,2,216918.0,40.072325295631984
68808, 2019-06-19T00:12:01+02:00,30,8,6104,4,2,216949.0,41.178542463213994
68809, 2019-06-17T10:52:01+02:00,30,8,247,4,2,216949.0,41.40533577209389
68810, 2019-06-15T06:36:01+02:00,30,8,16224,4,2,216949.0,41.84507775866332
68811, 2019-06-19T11:03:01+02:00,30,8,15648,4,2,216888.0,42.621168382269154
68812, 2019-06-14T14:09:01+02:00,30,8,3867,4,2,216918.0,42.0525962828128
68813, 2019-06-19T17:42:01+02:00,30,8,3269,4,2,216979.0,43.13751788268956
68814, 2019-06-13T12:29:01+02:00,30,8,17435,4,2,216918.0,42.57770020196113
68815, 2019-06-14T13:13:01+02:00,30,8,512,4,2,216888.0,40.8620576545393
68816, 2019-06-19T00:19:01+02:00,30,8,12987,4,2,216888.0,41.27960252908056
