test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,node_id,T_round,T_round_1slot,T_on_round,T_on_without_round,energy_savings
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,1,42144.0,14282.0,25756.0,37473.0,31.267846182584798
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,2,42175.0,14282.0,23773.0,36406.0,34.700324122397404
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,3,42144.0,14190.0,21514.0,30271.0,28.928677612236132
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,4,42144.0,14282.0,25878.0,35124.0,26.323881106935428
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,6,42144.0,14282.0,21972.0,34818.0,36.89470963294848
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,7,42144.0,14190.0,22857.0,31094.0,26.49064128127613
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,8,42144.0,14190.0,20812.0,31797.0,34.54728433500016
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,10,42144.0,14282.0,22277.0,32926.0,32.34222195225658
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,11,42236.0,14221.0,23834.0,36192.0,34.14566755083997
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,13,42144.0,14190.0,21606.0,31676.0,31.790630130066926
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,14,,,,,
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,15,42022.0,14068.0,25390.0,29051.0,12.601975835599463
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,16,42144.0,14221.0,20629.0,28684.0,28.0818574815228
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,17,42175.0,14221.0,22338.0,32988.0,32.284467078937794
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,18,42114.0,14190.0,18341.0,30791.0,40.43389302068786
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,19,42144.0,14251.0,22125.0,34085.0,35.08874871644419
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,20,42144.0,14190.0,18493.0,30791.0,39.9402422785879
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,22,42144.0,14190.0,20629.0,32957.0,37.40631732257184
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,23,42144.0,14251.0,21209.0,32346.0,34.43084152600012
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,24,42144.0,14282.0,19744.0,33750.0,41.49925925925926
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,25,42144.0,14221.0,22857.0,33904.0,32.583176026427566
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,26,42144.0,14221.0,21423.0,33904.0,36.81276545540349
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,27,42144.0,14282.0,19226.0,33842.0,43.18893682406477
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,28,42175.0,14221.0,19378.0,28319.0,31.572442529750344
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,32,42144.0,14190.0,23040.0,32743.0,29.633814861191706
68673, 2019-06-17T19:16:01+02:00,5,8,23933,4,2,33,42144.0,14190.0,21484.0,30363.0,29.24282844251227
68674, 2019-06-13T07:56:01+02:00,5,8,1318,4,2,1,42175.0,14221.0,20751.0,31828.0,34.80268945582506
68674, 2019-06-13T07:56:01+02:00,5,8,1318,4,2,2,42205.0,14282.0,25634.0,36314.0,29.410144847717135
