test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,node_id,T_round,T_round_1slot,T_on_round,T_on_without_round,energy_savings
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,26,42236.0,14282.0,24414.0,38756.0,37.0058829600578
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,27,,,,,
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,28,42144.0,14190.0,19897.0,32316.0,38.4298799356356
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,31,42175.0,14221.0,23223.0,30149.0,22.972569571130055
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,32,42144.0,14190.0,19958.0,30210.0,33.93578285335981
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,33,42144.0,14251.0,21057.0,31248.0,32.613287250384026
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,1,42175.0,14221.0,20751.0,31217.0,33.52660409392318
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,2,42175.0,14190.0,20080.0,30454.0,34.06449070729625
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,3,42175.0,14221.0,17883.0,28256.0,36.71078708946772
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,4,42175.0,14221.0,20935.0,30607.0,31.600614238572877
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,6,42144.0,14190.0,18585.0,28959.0,35.82306018854242
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,8,42144.0,14221.0,19317.0,29844.0,35.27342179332529
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,10,42144.0,14190.0,21972.0,33018.0,33.454479374886425
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,11,,,,,
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,13,42144.0,14251.0,22735.0,35490.0,35.93970132431671
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,15,42022.0,14160.0,19470.0,27829.0,30.037011750332386
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,16,42175.0,14190.0,18676.0,28898.0,35.37269015156758
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,17,42144.0,14251.0,22735.0,36527.0,37.758370520436934
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,18,42175.0,14221.0,20690.0,32164.0,35.67342370351946
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,19,42144.0,14251.0,23468.0,35520.0,33.93018018018018
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,20,42144.0,14221.0,19897.0,32559.0,38.889400780122244
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,22,42175.0,14221.0,19836.0,32866.0,39.645834601107524
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,23,42175.0,14282.0,20568.0,34605.0,40.56350238404855
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,24,42175.0,14190.0,20568.0,32926.0,37.532648970418514
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,25,42266.0,14221.0,24505.0,30149.0,18.720355567348832
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,26,42144.0,14190.0,21362.0,29997.0,28.786211954528785
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,27,42175.0,14312.0,19958.0,34208.0,41.65692235734331
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,28,42144.0,14221.0,19012.0,31370.0,39.39432578897035
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,31,42175.0,14221.0,20568.0,31553.0,34.81443919754065
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,32,42175.0,14190.0,20172.0,30546.0,33.9618935376154
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,33,42144.0,14190.0,18646.0,29387.0,36.55017524755844
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,1,42175.0,14282.0,23345.0,33200.0,29.683734939759038
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,2,42144.0,14190.0,20782.0,31431.0,33.880563774617414
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,3,42175.0,14221.0,19378.0,30515.0,36.49680485007373
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,4,42175.0,14251.0,18524.0,29508.0,37.22380371424698
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,6,42144.0,14221.0,22369.0,36832.0,39.267484795829716
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,8,42175.0,14221.0,20233.0,31217.0,35.18595636992664
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,10,42144.0,14221.0,21392.0,33810.0,36.7287784679089
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,11,42175.0,14221.0,24383.0,37626.0,35.196406740020194
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,13,42144.0,14282.0,22735.0,37168.0,38.83179078777443
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,15,42022.0,14068.0,19561.0,27524.0,28.931114663566344
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,16,42175.0,14190.0,19592.0,29599.0,33.80857461400723
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,17,42175.0,14312.0,25054.0,39516.0,36.59783378884502
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,18,42144.0,14190.0,22003.0,33657.0,34.625783640847374
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,19,42175.0,14251.0,23651.0,36648.0,35.464418249290546
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,20,42205.0,14221.0,24108.0,36465.0,33.88728918140683
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,22,42175.0,14251.0,22033.0,36007.0,38.80912044880162
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,23,42144.0,14251.0,24353.0,37413.0,34.90765242028172
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,24,42175.0,14221.0,23620.0,36893.0,35.97701460981758
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,25,42144.0,14221.0,22705.0,35154.0,35.41275530522842
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,26,42205.0,14221.0,24291.0,37045.0,34.428397894452694
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,27,42175.0,14221.0,21301.0,32957.0,35.367296780653575
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,28,42175.0,14221.0,22705.0,36496.0,37.78770276194651
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,31,42144.0,14251.0,21270.0,32712.0,34.97798972853999
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,32,42114.0,14190.0,19256.0,31553.0,38.97252242259056
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,33,42175.0,14221.0,19500.0,29813.0,34.592291953174794
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,1,42144.0,14282.0,22552.0,35124.0,35.79318984170368
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,2,42144.0,14190.0,21667.0,32101.0,32.503660322108345
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,3,42175.0,14221.0,18768.0,28989.0,35.2582013867329
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,4,42144.0,14221.0,21453.0,31858.0,32.660556218218346
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,6,42175.0,14221.0,24017.0,34025.0,29.41366642174871
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,8,42175.0,14221.0,20843.0,31095.0,32.96993085705097
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,10,42144.0,14282.0,19866.0,35398.0,43.87818520820385
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,11,,,,,
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,13,42236.0,14221.0,21667.0,34727.0,37.607625190773746
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,15,42022.0,14068.0,20263.0,26976.0,24.885083036773427
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,16,42175.0,14221.0,20233.0,32590.0,37.9165388155876
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,17,42205.0,14251.0,23468.0,34788.0,32.53995630677245
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,18,42144.0,14190.0,20629.0,34360.0,39.96216530849826
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,19,42205.0,14251.0,20690.0,35825.0,42.24703419399861
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,20,42175.0,14221.0,19958.0,35429.0,43.667616923988824
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,22,42175.0,14221.0,25512.0,35367.0,27.864958859954193
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,23,42144.0,14190.0,22003.0,31399.0,29.924519889168444
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,24,42175.0,14221.0,24536.0,35338.0,30.567660874978774
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,25,42266.0,14221.0,20812.0,31401.0,33.72185599184739
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,26,42144.0,14282.0,19744.0,33811.0,41.60480317056579
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,27,42144.0,14190.0,21972.0,34330.0,35.997669676667634
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,28,42175.0,14221.0,20568.0,33628.0,38.83668371595099
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,31,42144.0,14251.0,19805.0,33110.0,40.18423437028088
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,32,42114.0,14190.0,21484.0,31186.0,31.110113512473546
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,33,42175.0,14221.0,20141.0,31797.0,36.65754630940026
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,1,42144.0,14221.0,23162.0,32560.0,28.863636363636363
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,2,42144.0,14190.0,22399.0,30911.0,27.537122707126915
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,3,42175.0,14190.0,20019.0,30301.0,33.93287350252467
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,4,42175.0,14221.0,23254.0,31858.0,27.007345093853978
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,6,42144.0,14221.0,21392.0,33842.0,36.7886058743573
