test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,T_round,energy_savings
75256, 2019-10-18T07:44:01+02:00,5,8,25550,4,2,42236.0,35.34566699123661
75257, 2019-10-19T18:51:01+02:00,5,8,31826,4,2,42236.0,34.1362152568694
75258, 2019-10-23T02:18:01+02:00,5,8,30176,4,2,42266.0,35.37269015156758
75259, 2019-10-23T22:57:01+02:00,5,8,3413,4,2,42205.0,35.367296780653575
75260, 2019-10-23T01:29:01+02:00,5,8,31373,4,2,42266.0,35.52569561421829
75261, 2019-10-19T08:28:01+02:00,5,8,5520,4,2,42175.0,36.35547854070613
75262, 2019-10-21T16:07:01+02:00,5,8,23608,4,2,42266.0,34.83481707136731
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,42205.0,36.231842287295365
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,42175.0,34.76075593084037
75265, 2019-10-23T08:01:01+02:00,5,8,23045,4,2,42205.0,32.918795375100835
75266, 2019-10-23T12:34:01+02:00,5,8,19649,4,2,42175.0,35.22083136513935
75267, 2019-10-17T17:51:01+02:00,5,8,14182,4,2,42236.0,36.214683677842615
75268, 2019-10-21T05:37:01+02:00,5,8,18019,4,2,42205.0,35.724200362100184
75269, 2019-10-19T16:45:01+02:00,5,8,26027,4,2,42175.0,34.54728433500016
75270, 2019-10-18T19:59:01+02:00,5,8,5961,4,2,42175.0,38.02095012333024
75271, 2019-10-23T07:26:01+02:00,5,8,18601,4,2,42175.0,37.75383965480824
75272, 2019-10-23T08:08:01+02:00,5,8,5677,4,2,42205.0,32.83779853278609
75273, 2019-10-17T04:05:01+02:00,5,8,22584,4,2,42266.0,32.30187490152828
75274, 2019-10-20T03:15:01+02:00,5,8,10802,4,2,42205.0,36.98442038552944
75275, 2019-10-21T20:26:01+02:00,5,8,10774,4,2,42266.0,35.906618557811406
75276, 2019-10-18T20:06:01+02:00,5,8,32734,4,2,42236.0,34.94346600784391
75277, 2019-10-24T00:00:01+02:00,5,8,30985,4,2,42175.0,33.963437383410024
75278, 2019-10-23T10:49:01+02:00,5,8,27625,4,2,42144.0,33.741475280263785
75279, 2019-10-19T06:50:01+02:00,5,8,31246,4,2,42236.0,36.11027769443611
75280, 2019-10-23T05:34:01+02:00,5,8,658,4,2,42205.0,34.5988304787913
75281, 2019-10-17T20:39:01+02:00,5,8,30475,4,2,42205.0,36.91098581923799
75282, 2019-10-17T03:30:01+02:00,5,8,21417,4,2,42266.0,33.95708736666872
75283, 2019-10-21T22:53:01+02:00,5,8,16417,4,2,42175.0,35.10152589210621
75284, 2019-10-20T17:36:01+02:00,5,8,9978,4,2,42236.0,35.55642919322681
75285, 2019-10-23T23:46:01+02:00,5,8,10764,4,2,42175.0,32.733066331452626
75286, 2019-10-18T05:38:01+02:00,5,8,19098,4,2,42266.0,33.08906093020507
75287, 2019-10-19T00:25:01+02:00,5,8,14226,4,2,42266.0,33.676606209652626
75288, 2019-10-19T08:35:01+02:00,5,8,6838,4,2,42266.0,35.49726900318616
75289, 2019-10-19T06:43:01+02:00,5,8,15849,4,2,42266.0,35.8937212065019
75290, 2019-10-23T15:57:01+02:00,5,8,28494,4,2,42266.0,38.34426683913887
75291, 2019-10-23T22:08:01+02:00,5,8,30187,4,2,42236.0,34.056735389862034
75292, 2019-10-20T10:08:01+02:00,5,8,13297,4,2,42236.0,37.65841882920942
75293, 2019-10-20T10:50:01+02:00,5,8,13018,4,2,42205.0,36.13400466934826
75294, 2019-10-17T23:41:01+02:00,5,8,16918,4,2,42297.0,32.85680067525904
75295, 2019-10-21T12:58:01+02:00,5,8,22361,4,2,42205.0,37.80556178515362
75297, 2019-10-22T17:26:01+02:00,5,8,25466,4,2,42297.0,35.610998272046565
75298, 2019-10-22T17:05:01+02:00,5,8,4706,4,2,42205.0,29.223171164288246
75299, 2019-10-23T01:43:01+02:00,5,8,27238,4,2,42175.0,37.484052054095436
75300, 2019-10-18T12:45:01+02:00,5,8,7464,4,2,42236.0,32.71313524021105
75302, 2019-10-21T06:33:01+02:00,5,8,30896,4,2,42205.0,34.41941074523397
75303, 2019-10-17T06:18:01+02:00,5,8,10073,4,2,42175.0,35.820761762509335
75304, 2019-10-21T04:41:01+02:00,5,8,1424,4,2,42205.0,35.141376942762626
75305, 2019-10-19T01:28:01+02:00,5,8,24843,4,2,42205.0,34.914745369059084
75306, 2019-10-22T22:34:01+02:00,5,8,29191,4,2,42175.0,35.98168752897543
75307, 2019-10-21T18:20:01+02:00,5,8,16765,4,2,42266.0,34.63745018460948
75308, 2019-10-19T19:40:01+02:00,5,8,31915,4,2,42236.0,34.53097102046422
75309, 2019-10-22T23:16:01+02:00,10,8,22916,4,2,77117.0,38.98017434235902
